
组播频道,#genre# 
虎牙云奕杯淘汰赛, http://diyp.zxyxndc.top/huya/660133
云顶-伊泽, http://diyp.zxyxndc.top/huya/713329
云顶-弃徒, http://diyp.zxyxndc.top/huya/825290
云顶-李图川, http://diyp.zxyxndc.top/huya/135148
云顶-七月, http://diyp.zxyxndc.top/huya/136271
云顶-林守, http://diyp.zxyxndc.top/huya/881709
云顶-红莲, http://diyp.zxyxndc.top/huya/229085

湖北经视,http://27.18.146.175:4022/rtp/239.69.1.41:9886
湖北综合,http://27.18.146.175:4022/rtp/239.69.1.42:9892
湖北经视,http://171.42.16.114:4022/rtp/239.69.1.41:9886
湖北综合,http://171.42.16.114:4022/rtp/239.69.1.42:9892
湖北经视,http://59.174.225.55:8880/rtp/239.69.1.41:9886
湖北综合,http://59.174.225.55:8880/rtp/239.69.1.42:9892
湖北经视,http://119.98.133.175:8088/rtp/239.69.1.41:9886
湖北综合,http://119.98.133.175:8088/rtp/239.69.1.42:9892
湖北经视,http://219.140.135.17:8887/rtp/239.69.1.41:9886
湖北综合,http://219.140.135.17:8887/rtp/239.69.1.42:9892
湖北经视,http://27.19.146.219:2701/rtp/239.69.1.41:9886
湖北综合,http://27.19.146.219:2701/rtp/239.69.1.42:9892

湖北经视,http://122.189.103.254:8010/udp/228.0.0.125:6108
湖北综合,http://122.189.103.254:8010/udp/228.0.0.126:6108


CCTV2,http://27.18.146.175:4022/udp/239.69.1.102:10250
CCTV2,http://171.42.16.114:4022/udp/239.69.1.102:10250
CCTV2,http://59.174.225.55:8880/udp/239.69.1.102:10250
CCTV2,http://119.98.133.175:8088/udp/239.69.1.102:10250
CCTV2,http://219.140.135.17:8887/udp/239.69.1.102:10250
CCTV2,http://27.19.146.219:2701/udp/239.69.1.102:10250

CCTV2,http://122.189.103.254:8010/udp/228.0.0.2:6108

虎牙频道,#genre#
电影_星爷,http://diyp.zxyxndc.top/huya/11342412
电影_英叔,http://diyp.zxyxndc.top/huya/11342421
电影_发哥,http://diyp.zxyxndc.top/huya/11342387
电影_成龙,http://diyp.zxyxndc.top/huya/11342386
电影_王晶,http://diyp.zxyxndc.top/huya/11602058
电影_沈腾,http://diyp.zxyxndc.top/huya/11601968
电影_黄渤,http://diyp.zxyxndc.top/huya/11352876
电影_冯小刚,http://diyp.zxyxndc.top/huya/11352906
电影_甄子丹,http://diyp.zxyxndc.top/huya/11352935
电影_曾江,http://diyp.zxyxndc.top/huya/11601981
电影_周海媚,http://diyp.zxyxndc.top/huya/11279247
电影_强森,http://diyp.zxyxndc.top/huya/21059581
电影_漫威,http://diyp.zxyxndc.top/huya/11602034
电影_宇宙,http://diyp.zxyxndc.top/huya/11342428
电影_怪兽,http://diyp.zxyxndc.top/huya/21059577
电影_武侠,http://diyp.zxyxndc.top/huya/11342427
电影_警匪,http://diyp.zxyxndc.top/huya/11352886
电影_罪犯,http://diyp.zxyxndc.top/huya/11352962
电影_枪战,http://diyp.zxyxndc.top/huya/21059579
电影_海盗,http://diyp.zxyxndc.top/huya/21059595
电影_赛车,http://diyp.zxyxndc.top/huya/11279247
电影_推荐,http://diyp.zxyxndc.top/huya/11602041
电影_救援,http://diyp.zxyxndc.top/huya/21059594
电影_热血,http://diyp.zxyxndc.top/huya/11352934
电影_盗墓,http://diyp.zxyxndc.top/huya/21059552
电影_贺岁,http://diyp.zxyxndc.top/huya/11601971
电影_玄幻,http://diyp.zxyxndc.top/huya/11342414
电影_谍战,http://diyp.zxyxndc.top/huya/21059585
电影_战争,http://diyp.zxyxndc.top/huya/21059592
电影_喜剧,http://diyp.zxyxndc.top/huya/11352877
电影_港片,http://diyp.zxyxndc.top/huya/11602043
电影_国产,http://diyp.zxyxndc.top/huya/11352973
电影_周星星,http://diyp.zxyxndc.top/huya/11336587
电影_李连杰,http://diyp.zxyxndc.top/huya/11342390
